flop_idx,flops,flops_human,tokens_per_param,params,params_human,tokens,tokens_human
4,2e+17,2.00e+17,15,47140452.07910317,47.140M,707106781.1865475,707.107M
4,2e+17,2.00e+17,20,40824829.0463863,40.825M,816496580.927726,816.497M
4,2e+17,2.00e+17,25,36514837.167011075,36.515M,912870929.1752769,912.871M
5,4e+17,4.00e+17,15,66666666.666666664,66.667M,1000000000.0,1.000B
5,4e+17,4.00e+17,20,57735026.918962575,57.735M,1154700538.3792515,1.155B
5,4e+17,4.00e+17,25,51639777.949432224,51.640M,1290994448.7358055,1.291B
6,8e+17,8.00e+17,15,94280904.15820634,94.281M,1414213562.373095,1.414B
6,8e+17,8.00e+17,20,81649658.0927726,81.650M,1632993161.855452,1.633B
6,8e+17,8.00e+17,25,73029674.33402215,73.030M,1825741858.3505538,1.826B
7,1.6e+18,1.60e+18,15,133333333.33333333,133.333M,2000000000.0,2.000B
7,1.6e+18,1.60e+18,20,115470053.83792515,115.470M,2309401076.758503,2.309B
7,1.6e+18,1.60e+18,25,103279555.89886445,103.280M,2581988897.471611,2.582B
8,3.2e+18,3.20e+18,15,188561808.3164127,188.562M,2828427124.74619,2.828B
8,3.2e+18,3.20e+18,20,163299316.1855452,163.299M,3265986323.710904,3.266B
8,3.2e+18,3.20e+18,25,146059348.6680443,146.059M,3651483716.7011075,3.651B
9,6.4e+18,6.40e+18,15,266666666.66666666,266.667M,4000000000.0,4.000B
9,6.4e+18,6.40e+18,20,230940107.6758503,230.940M,4618802153.517006,4.619B
9,6.4e+18,6.40e+18,25,206559111.7977289,206.559M,5163977794.943222,5.164B
